transaction_ref,processed_at,order_reference,currency,amount,fee,net_settled,type,status
TXN700112,02/04/2025 18:39,ORD-1113,USD,191.88,5.86,186.02,charge,settled
TXN700054,05/04/2025 00:02,ORD-1055,USD,160.83,4.96,155.87,charge,settled
TXN700089,21/04/2025 22:05,ORD-1090,USD,347.93,10.39,337.54,charge,settled
TXN700047,30/04/2025 08:11,ORD-1048,USD,421.64,12.53,409.11,charge,settled
TXN700132,22/04/2025 00:56,ORD-1133,USD,389.55,11.6,377.95,charge,settled
TXN700090,20/04/2025 21:38,ORD-1091,USD,194.65,5.94,188.71,charge,settled
TXN700130,22/05/2025 03:45,ORD-1131,USD,346.72,10.35,336.37,charge,settled
TXN700010,07/05/2025 06:30,ORD-1011,USD,342.63,10.24,332.39,charge,settled
TXN700058,06/04/2025 13:41,ORD-1059,USD,288.61,8.67,279.94,charge,settled
TXN700167,28/04/2025 00:12,ORD-1501,USD,119.84,3.78,116.06,charge,settled
TXN700109,10/04/2025 07:28,ORD-1110,USD,193.11,5.9,187.21,charge,settled
TXN700184,09/05/2025 00:14,ORD-2002,USD,67.0,2.24,64.76,charge,pending
TXN700008,22/05/2025 01:49,ORD-1009,USD,318.9,9.55,309.35,charge,settled
TXN700166,08/05/2025 00:20,ORD-1403,USD,259.01,7.81,251.2,charge,settled
TXN700143,15/04/2025 13:15,ORD-1144,USD,336.68,10.06,326.62,charge,settled
TXN700068,14/04/2025 22:03,ORD-1069,USD,309.92,9.29,300.63,charge,settled
TXN700015,11/04/2025 15:12,ORD-1016,USD,162.73,5.02,157.71,charge,settled
TXN700038,22/04/2025 00:29,ORD-1039,USD,288.56,8.67,279.89,charge,settled
TXN700019,27/05/2025 20:32,ORD-1020,USD,228.37,6.92,221.45,charge,settled
TXN700033,23/05/2025 02:17,ORD-1034,USD,422.78,12.56,410.22,charge,settled
TXN700131,05/05/2025 14:23,ORD-1132,USD,322.61,9.66,312.95,charge,settled
TXN700003,03/05/2025 20:24,ORD-1004,USD,27.34,1.09,26.25,charge,settled
TXN700013,23/04/2025 07:23,ORD-1014,USD,277.64,8.35,269.29,charge,settled
TXN700104,19/05/2025 14:55,ORD-1105,USD,254.9,7.69,247.21,charge,settled
TXN700153,22/04/2025 05:15,ORD-1154,USD,463.96,13.75,450.21,charge,settled
TXN700140,06/05/2025 00:31,ORD-1141,USD,255.23,7.7,247.53,charge,settled
TXN700031,30/05/2025 11:08,ORD-1032,USD,423.61,12.58,411.03,charge,settled
TXN700026,22/04/2025 03:01,ORD-1027,USD,151.48,4.69,146.79,charge,settled
TXN700185,06/05/2025 00:00,ORD-2101,USD,190.0,5.81,184.19,charge,settled
TXN700126,18/05/2025 22:14,ORD-1127,USD,68.26,2.28,65.98,charge,settled
TXN700071,18/05/2025 14:02,ORD-1072,USD,257.95,7.78,250.17,charge,settled
TXN700122,12/05/2025 02:04,ORD-1123,USD,321.53,9.62,311.91,charge,settled
TXN700162,15/04/2025 00:00,ORD-1302,USD,78.98,2.59,76.39,charge,settled
TXN700120,22/04/2025 12:11,ORD-1121,USD,137.17,4.28,132.89,charge,settled
TXN700030,29/05/2025 00:15,ORD-1031,USD,278.83,8.39,270.44,charge,settled
TXN700057,27/05/2025 19:20,ORD-1058,USD,116.54,3.68,112.86,charge,settled
TXN700114,22/05/2025 19:35,ORD-1115,USD,410.86,12.21,398.65,charge,settled
TXN700078,22/05/2025 21:21,ORD-1079,USD,416.79,12.39,404.4,charge,settled
TXN700100,25/04/2025 16:29,ORD-1101,USD,200.84,6.12,194.72,charge,settled
TXN700155,14/05/2025 01:11,ORD-1156,USD,77.0,2.53,74.47,charge,settled
TXN700103,09/04/2025 14:41,ORD-1104,USD,292.88,8.79,284.09,charge,settled
TXN700049,30/05/2025 07:28,ORD-1050,USD,87.71,2.84,84.87,charge,settled
TXN700169,12/05/2025 00:12,ORD-1502,USD,128.74,4.03,124.71,charge,settled
TXN700180,23/05/2025 00:15,ORD-1901,USD,135.39,4.23,131.16,charge,settled
TXN700146,15/04/2025 04:09,ORD-1147,USD,350.4,10.46,339.94,charge,settled
TXN700176,15/05/2025 00:08,ORD-1703,USD,99.0,3.17,95.83,charge,settled
TXN700000,11/05/2025 03:29,ORD-1001,USD,26.63,1.07,25.56,charge,settled
TXN700052,16/05/2025 00:03,ORD-1053,USD,430.08,12.77,417.31,charge,settled
TXN700093,24/05/2025 01:15,ORD-1094,USD,156.3,4.83,151.47,charge,settled
TXN700023,11/04/2025 21:49,ORD-1024,USD,211.3,6.43,204.87,charge,settled
TXN700121,01/05/2025 00:29,ORD-1122,USD,363.3,10.84,352.46,charge,settled
TXN700051,25/04/2025 08:55,ORD-1052,USD,423.54,12.58,410.96,charge,settled
TXN700161,01/05/2025 00:00,ORD-1301,USD,79.51,2.61,76.9,charge,settled
TXN700085,28/04/2025 20:14,ORD-1086,USD,472.67,14.01,458.66,charge,settled
TXN700147,19/05/2025 23:02,ORD-1148,USD,101.09,3.23,97.86,charge,settled
TXN700070,01/04/2025 10:21,ORD-1071,USD,317.53,9.51,308.02,charge,settled
TXN700055,03/05/2025 16:24,ORD-1056,USD,79.39,2.6,76.79,charge,settled
TXN700187,,ORD-2202,USD,155.0,4.8,150.2,charge,settled
TXN700048,07/04/2025 01:12,ORD-1049,USD,286.42,8.61,277.81,charge,settled
TXN700009,06/04/2025 17:47,ORD-1010,USD,128.63,4.03,124.6,charge,settled
TXN700094,09/05/2025 21:27,ORD-1095,USD,156.61,4.84,151.77,charge,settled
TXN700066,27/05/2025 05:11,ORD-1067,USD,137.98,4.3,133.68,charge,settled
TXN700152,07/04/2025 00:57,ORD-1153,USD,267.84,8.07,259.77,charge,settled
TXN700175,01/05/2025 00:00,ORD-1702,USD,120.0,0.0,120.0,refund,settled
TXN700164,30/04/2025 00:20,ORD-1401,USD,117.81,3.72,114.09,charge,settled
TXN700145,22/04/2025 11:33,ORD-1146,USD,341.83,10.21,331.62,charge,settled
TXN700157,21/05/2025 19:58,ORD-1158,USD,107.95,3.43,104.52,charge,settled
TXN700134,28/04/2025 06:19,ORD-1135,USD,302.78,9.08,293.7,charge,settled
TXN700021,28/05/2025 19:06,ORD-1022,USD,200.72,6.12,194.6,charge,settled
TXN700034,13/05/2025 16:08,ORD-1035,USD,455.28,13.5,441.78,charge,settled
TXN700138,02/04/2025 15:28,ORD-1139,USD,410.69,12.21,398.48,charge,settled
TXN700067,10/04/2025 08:44,ORD-1068,USD,146.02,4.53,141.49,charge,settled
TXN700141,17/05/2025 14:01,ORD-1142,USD,242.19,7.32,234.87,charge,settled
TXN700069,17/04/2025 01:06,ORD-1070,USD,55.02,1.9,53.12,charge,settled
TXN700101,01/04/2025 04:30,ORD-1102,USD,376.97,11.23,365.74,charge,settled
TXN700183,18/04/2025 00:09,ORD-2001,USD,310.0,9.29,300.71,charge,failed
TXN700022,02/05/2025 03:21,ORD-1023,USD,366.44,10.93,355.51,charge,settled
TXN700053,10/04/2025 07:10,ORD-1054,USD,152.97,4.74,148.23,charge,settled
TXN700041,18/04/2025 22:14,ORD-1042,USD,216.65,6.58,210.07,charge,settled
TXN700170,12/05/2025 00:41,ORD-1502,USD,128.74,4.03,124.71,charge,settled
TXN700177,17/05/2025 00:00,ORD-1703,USD,99.0,0.0,99.0,refund,settled
TXN700016,15/04/2025 21:05,ORD-1017,USD,165.79,5.11,160.68,charge,settled
TXN700165,30/05/2025 00:20,ORD-1402,USD,109.12,3.46,105.66,charge,settled
TXN700074,03/04/2025 09:27,ORD-1075,USD,184.56,5.65,178.91,charge,settled
TXN700004,15/05/2025 17:36,ORD-1005,USD,199.58,6.09,193.49,charge,settled
TXN700056,05/04/2025 19:16,ORD-1057,USD,46.6,1.65,44.95,charge,settled
TXN700039,01/04/2025 02:09,ORD-1040,USD,344.15,10.28,333.87,charge,settled
TXN700005,22/05/2025 00:55,ORD-1006,USD,367.85,10.97,356.88,charge,settled
TXN700082,23/04/2025 20:43,ORD-1083,USD,214.09,6.51,207.58,charge,settled
TXN700129,16/04/2025 04:17,ORD-1130,USD,339.19,10.14,329.05,charge,settled
TXN700012,18/04/2025 14:48,ORD-1013,USD,310.59,9.31,301.28,charge,settled
TXN700080,13/04/2025 14:04,ORD-1081,USD,177.59,5.45,172.14,charge,settled
TXN700017,22/05/2025 11:13,ORD-1018,USD,201.54,6.14,195.4,charge,settled
TXN700150,01/04/2025 22:07,ORD-1151,USD,263.37,7.94,255.43,charge,settled
TXN700133,24/04/2025 20:20,ORD-1134,USD,408.1,12.13,395.97,charge,settled
TXN700092,18/05/2025 06:11,ORD-1093,USD,301.21,9.04,292.17,charge,settled
TXN700096,06/04/2025 09:43,ORD-1097,USD,216.49,6.58,209.91,charge,settled
TXN700086,13/04/2025 09:07,ORD-1087,USD,33.86,1.28,32.58,charge,settled
TXN700032,16/04/2025 19:03,ORD-1033,USD,455.33,13.5,441.83,charge,settled
TXN700079,21/05/2025 22:29,ORD-1080,USD,65.26,2.19,63.07,charge,settled
TXN700024,09/05/2025 15:28,ORD-1025,USD,234.94,7.11,227.83,charge,settled
TXN700081,13/05/2025 06:36,ORD-1082,USD,200.29,6.11,194.18,charge,settled
TXN700028,29/05/2025 04:05,ORD-1029,USD,419.79,12.47,407.32,charge,settled
TXN700045,04/04/2025 12:25,ORD-1046,USD,353.62,10.55,343.07,charge,settled
TXN700107,02/05/2025 20:37,ORD-1108,USD,119.94,3.78,116.16,charge,settled
TXN700142,12/05/2025 22:38,ORD-1143,USD,243.23,7.35,235.88,charge,settled
TXN700029,09/05/2025 07:08,ORD-1030,USD,86.07,2.8,83.27,charge,settled
TXN700102,04/05/2025 14:59,ORD-1103,USD,38.35,1.41,36.94,charge,settled
TXN700137,16/04/2025 14:44,ORD-1138,USD,237.98,7.2,230.78,charge,settled
TXN700154,23/05/2025 03:21,ORD-1155,USD,201.33,6.14,195.19,charge,settled
TXN700124,09/04/2025 16:00,ORD-1125,USD,293.67,8.82,284.85,charge,settled
TXN700063,27/05/2025 02:21,ORD-1064,USD,423.86,12.59,411.27,charge,settled
TXN700115,28/04/2025 16:27,ORD-1116,USD,28.5,1.13,27.37,charge,settled
TXN700136,18/04/2025 10:58,ORD-1137,USD,411.05,12.22,398.83,charge,settled
TXN700006,22/04/2025 08:12,ORD-1007,USD,87.3,2.83,84.47,charge,settled
TXN700172,04/05/2025 00:25,ORD-1602,USD,145.0,4.5,140.5,charge,settled
TXN700099,30/04/2025 14:30,ORD-1100,USD,384.34,11.45,372.89,charge,settled
TXN700087,30/05/2025 18:26,ORD-1088,USD,284.23,8.54,275.69,charge,settled
TXN700171,13/04/2025 00:30,ORD-1601,EUR,210.0,6.39,203.61,charge,settled
TXN700072,08/04/2025 03:10,ORD-1073,USD,386.28,11.5,374.78,charge,settled
TXN700001,09/04/2025 23:12,ORD-1002,USD,53.26,1.84,51.42,charge,settled
TXN700035,26/05/2025 20:29,ORD-1036,USD,211.76,6.44,205.32,charge,settled
TXN700168,28/04/2025 00:41,ORD-1501,USD,119.84,3.78,116.06,charge,settled
TXN700084,17/04/2025 01:41,ORD-1085,USD,62.14,2.1,60.04,charge,settled
TXN700106,29/04/2025 09:07,ORD-1107,USD,309.89,9.29,300.6,charge,settled
TXN700125,15/05/2025 09:18,ORD-1126,USD,371.61,11.08,360.53,charge,settled
TXN700148,18/04/2025 23:37,ORD-1149,USD,260.24,7.85,252.39,charge,settled
TXN700128,26/04/2025 23:21,ORD-1129,USD,96.5,3.1,93.4,charge,settled
TXN700174,28/04/2025 00:10,ORD-1702,USD,240.0,7.26,232.74,charge,settled
TXN700173,22/04/2025 00:15,ORD-1701,USD,175.0,5.38,169.62,charge,settled
TXN700159,07/05/2025 19:27,ORD-1160,USD,36.56,1.36,35.2,charge,settled
TXN700060,17/04/2025 12:59,ORD-1061,USD,64.48,2.17,62.31,charge,settled
TXN700027,18/05/2025 00:05,ORD-1028,USD,123.73,3.89,119.84,charge,settled
TXN700123,16/04/2025 06:31,ORD-1124,USD,364.72,10.88,353.84,charge,settled
TXN700098,02/04/2025 01:10,ORD-1099,USD,122.41,3.85,118.56,charge,settled
TXN700050,26/05/2025 12:01,ORD-1051,USD,434.64,12.9,421.74,charge,settled
TXN700077,27/05/2025 13:53,ORD-1078,USD,22.55,0.95,21.6,charge,settled
TXN700116,22/05/2025 13:20,ORD-1117,USD,334.15,9.99,324.16,charge,settled
TXN700064,29/04/2025 18:08,ORD-1065,USD,307.94,9.23,298.71,charge,settled
TXN700108,16/04/2025 08:18,ORD-1109,USD,154.05,4.77,149.28,charge,settled
TXN700179,10/04/2025 00:22,ord-1802,USD,88.0,2.85,85.15,charge,settled
TXN700088,13/04/2025 12:20,ORD-1089,USD,183.22,5.61,177.61,charge,settled
TXN700182,20/04/2025 00:15,ORD-1903,USD,154.97,4.79,150.18,charge,settled
TXN700018,27/05/2025 22:51,ORD-1019,USD,137.13,4.28,132.85,charge,settled
TXN700040,28/05/2025 01:31,ORD-1041,USD,414.73,12.33,402.4,charge,settled
TXN700139,23/04/2025 08:36,ORD-1140,USD,155.93,4.82,151.11,charge,settled
TXN700073,03/04/2025 11:17,ORD-1074,USD,285.87,8.59,277.28,charge,settled
TXN700119,04/04/2025 08:42,ORD-1120,USD,191.28,5.85,185.43,charge,settled
TXN700002,08/05/2025 13:30,ORD-1003,USD,29.78,1.16,28.62,charge,settled
TXN700151,06/05/2025 10:03,ORD-1152,USD,339.3,10.14,329.16,charge,settled
TXN700117,05/05/2025 01:25,ORD-1118,USD,393.05,11.7,381.35,charge,settled
TXN700065,01/04/2025 21:14,ORD-1066,USD,394.95,11.75,383.2,charge,settled
TXN700118,02/04/2025 02:24,ORD-1119,USD,313.88,9.4,304.48,charge,settled
TXN700059,30/05/2025 08:31,ORD-1060,USD,93.48,3.01,90.47,charge,settled
TXN700036,13/04/2025 22:48,ORD-1037,USD,135.96,4.24,131.72,charge,settled
TXN700149,07/04/2025 06:39,ORD-1150,USD,152.75,4.73,148.02,charge,settled
TXN700127,08/05/2025 00:49,ORD-1128,USD,402.24,11.96,390.28,charge,settled
TXN700061,21/04/2025 02:13,ORD-1062,USD,17.4,0.8,16.6,charge,settled
TXN700158,29/05/2025 14:40,ORD-1159,USD,137.94,4.3,133.64,charge,settled
TXN700097,06/04/2025 07:19,ORD-1098,USD,327.85,9.81,318.04,charge,settled
TXN700156,16/04/2025 04:17,ORD-1157,USD,260.77,7.86,252.91,charge,settled
TXN700020,18/05/2025 17:55,ORD-1021,USD,225.78,6.85,218.93,charge,settled
TXN700044,30/04/2025 23:13,ORD-1045,USD,34.16,1.29,32.87,charge,settled
TXN700043,07/04/2025 03:53,ORD-1044,USD,321.43,9.62,311.81,charge,settled
TXN700046,13/04/2025 17:36,ORD-1047,USD,212.43,6.46,205.97,charge,settled
TXN700144,24/04/2025 16:11,ORD-1145,USD,272.36,8.2,264.16,charge,settled
TXN700105,24/05/2025 18:01,ORD-1106,USD,222.35,6.75,215.6,charge,settled
TXN700135,22/05/2025 18:16,ORD-1136,USD,356.45,10.64,345.81,charge,settled
TXN700062,05/04/2025 17:45,ORD-1063,USD,114.12,3.61,110.51,charge,settled
TXN700037,29/04/2025 16:09,ORD-1038,USD,224.94,6.82,218.12,charge,settled
TXN700110,05/04/2025 13:54,ORD-1111,USD,184.08,5.64,178.44,charge,settled
TXN700095,14/04/2025 17:25,ORD-1096,USD,199.78,6.09,193.69,charge,settled
TXN700091,06/05/2025 05:27,ORD-1092,USD,88.58,2.87,85.71,charge,settled
TXN700075,14/05/2025 07:53,ORD-1076,USD,325.12,9.73,315.39,charge,settled
TXN700014,05/04/2025 19:32,ORD-1015,USD,279.23,8.4,270.83,charge,settled
TXN700083,02/04/2025 04:15,ORD-1084,USD,422.82,12.56,410.26,charge,settled
TXN700011,20/05/2025 09:49,ORD-1012,USD,473.13,14.02,459.11,charge,settled
TXN700007,25/04/2025 03:34,ORD-1008,USD,181.93,5.58,176.35,charge,settled
TXN700076,10/05/2025 23:23,ORD-1077,USD,86.87,2.82,84.05,charge,settled
TXN700178,06/04/2025 00:18, ord-1801 ,USD,130.0,4.07,125.93,charge,settled
TXN700042,07/05/2025 15:25,ORD-1043,USD,121.59,3.83,117.76,charge,settled
TXN700113,19/05/2025 13:10,ORD-1114,USD,391.26,11.65,379.61,charge,settled
TXN700186,19/05/2025 00:20,ORD-2201,USD,120.0,3.78,116.22,charge,settled
TXN700181,29/04/2025 00:15,ORD-1902,USD,68.63,2.29,66.34,charge,settled
TXN700163,19/04/2025 00:00,ORD-1303,USD,149.51,4.64,144.87,charge,settled
TXN700025,17/05/2025 04:23,ORD-1026,USD,298.8,8.97,289.83,charge,settled
TXN700111,04/04/2025 07:30,ORD-1112,USD,382.18,11.38,370.8,charge,settled
